diagnosis_code,description,cc_status,mdc,ms_drg_list,service
L98.A394,Non-pressure chronic ulcer of unspecified hand with necrosis of bone,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A395,Non-pressure chronic ulcer of unspecified hand with muscle involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A396,Non-pressure chronic ulcer of unspecified hand with bone involvement without evidence of necrosis,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A398,Non-pressure chronic ulcer of unspecified hand with other specified severity,C,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
L98.A399,Non-pressure chronic ulcer of unspecified hand with unspecified severity,N,09,"573, 574, 575, 592, 593, 594",Skin/Subcutaneous Tissue
M05.A,Abnormal rheumatoid factor and anti-citrullinated protein antibody with rheumatoid arthritis,N,08,"545, 546, 547",Musculoskeletal System
N00.B1,Acute nephritic syndrome with idiopathic immune membranoproliferative glomerulonephritis (IC-MPGN),M,11,"698, 699, 700",Kidney/Urinary Tract
"""""",,,15,"791(1), 793(1)",Newborns/Neonates
"""""",,,25,977(2),HIV Infections
N00.B2,Acute nephritic syndrome with secondary immune complex membranoproliferative glomerulonephritis (IC-MPGN),M,11,"698, 699, 700",Kidney/Urinary Tract
"""""",,,15,"791(1), 793(1)",Newborns/Neonates
"""""",,,25,977(2),HIV Infections
N04.B1,Nephrotic syndrome with idiopathic immune complex membranoproliferative glomerulonephritis (IC-MPGN),C,11,"698, 699, 700",Kidney/Urinary Tract
"""""",,,25,977(2),HIV Infections
N04.B2,Nephrotic syndrome with secondary immune complex membranoproliferative glomerulonephritis (IC-MPGN),C,11,"698, 699, 700",Kidney/Urinary Tract
"""""",,,25,977(2),HIV Infections
N07.B,"Hereditary nephropathy, not elsewhere classified with APOL1-mediated kidney disease [AMKD]",N,11,"698, 699, 700",Kidney/Urinary Tract
"""""",,,25,977(2),HIV Infections
Q87.87,Hao-Fountain Syndrome,C,08,"564, 565, 566",Musculoskeletal System
Q87.88,CTNNB1 syndrome,C,01,"052, 053",Nervous System
Q89.81,Kabuki syndrome,C,08,"564, 565, 566",Musculoskeletal System
Q89.89,Other specified congenital malformations,C,08,"564, 565, 566",Musculoskeletal System
Q99.811,"Usher syndrome, type 1",C,08,"564, 565, 566",Musculoskeletal System
Q99.812,"Usher syndrome, type 2",C,08,"564, 565, 566",Musculoskeletal System
Q99.813,"Usher syndrome, type 3",C,08,"564, 565, 566",Musculoskeletal System
Q99.818,Other Usher syndrome,C,08,"564, 565, 566",Musculoskeletal System
Q99.819,"Usher syndrome, unspecified",C,08,"564, 565, 566",Musculoskeletal System
Q99.89,Other specified chromosome abnormalities,N,12,"729, 730",Male Reproductive System
"""""",,,13,"742, 743, 760, 761",Female Reproductive System
QA0.0101,SCN2A-related neurodevelopmental disorder,C,08,"564, 565, 566",Musculoskeletal System
QA0.0102,CACNA1A-related neurodevelopmental disorder,C,08,"564, 565, 566",Musculoskeletal System
QA0.0109,Neurodevelopmental disorder related to pathogenic variant in other ion channel gene,C,08,"564, 565, 566",Musculoskeletal System
QA0.011,"Neurodevelopmental disorders, related to pathogenic variants in glutamate receptor genes",C,08,"564, 565, 566",Musculoskeletal System
QA0.012,"Neurodevelopmental disorders, related to pathogenic variants in other receptor genes",C,08,"564, 565, 566",Musculoskeletal System
QA0.0131,SLC6A1-related disorder,C,08,"564, 565, 566",Musculoskeletal System
QA0.0139,"Neurodevelopmental disorder, related to pathogenic variant in other transporter or solute carrier gene",C,08,"564, 565, 566",Musculoskeletal System
QA0.0141,Syntaxin-binding protein 1-related disorder,C,08,"564, 565, 566",Musculoskeletal System
QA0.0142,DLG4-related synaptopathy,C,08,"564, 565, 566",Musculoskeletal System
QA0.0149,"Neurodevelopmental disorder, related to pathogenic variant in other synapse related gene",C,08,"564, 565, 566",Musculoskeletal System
QA0.0151,FOXG1 syndrome,C,08,"564, 565, 566",Musculoskeletal System
QA0.0159,"Neurodevelopmental disorder, related to other genes associated with transcription and gene expression",C,08,"564, 565, 566",Musculoskeletal System
QA0.8,Other neurodevelopmental disorders related to pathogenic variants in other specific genes,C,08,"564, 565, 566",Musculoskeletal System
R10.20,Pelvic and perineal pain unspecified side,N,06,"391, 392",Digestive System
R10.21,Pelvic and perineal pain right side,N,06,"391, 392",Digestive System
R10.22,Pelvic and perineal pain left side,N,06,"391, 392",Digestive System
R10.23,Pelvic and perineal pain bilateral,N,06,"391, 392",Digestive System
R10.24,Suprapubic pain,N,06,"391, 392",Digestive System
R10.85,Abdominal pain of multiple sites,N,06,"391, 392",Digestive System
R10.8A1,Right flank tenderness,N,06,"391, 392",Digestive System
R10.8A2,Left flank tenderness,N,06,"391, 392",Digestive System
R10.8A3,Suprapubic tenderness,N,06,"391, 392",Digestive System
R10.8A9,"Flank tenderness, unspecified",N,06,"391, 392",Digestive System
R10.A0,"Flank pain, unspecified side",N,06,"391, 392",Digestive System
R10.A1,"Flank pain, right side",N,06,"391, 392",Digestive System
R10.A2,"Flank pain, left side",N,06,"391, 392",Digestive System
R10.A3,"Flank pain, bilateral",N,06,"391, 392",Digestive System
R11.16,Cannabis hyperemesis syndrome,N,06,"391, 392",Digestive System
R39.851,"Costovertebral (angle) tenderness, right side",N,11,"695, 696",Kidney/Urinary Tract
R39.852,"Costovertebral (angle) tenderness, left side",N,11,"695, 696",Kidney/Urinary Tract
R39.853,"Costovertebral (angle) tenderness, bilateral",N,11,"695, 696",Kidney/Urinary Tract
R39.859,"Costovertebral (angle) tenderness, unspecified side",N,11,"695, 696",Kidney/Urinary Tract
R76.81,Abnormal rheumatoid factor and anti-citrullinated protein antibody without rheumatoid arthritis,N,16,"814, 815, 816",Blood/Blood-forming Organs
R76.89,Other specified abnormal immunological findings in serum,N,16,"814, 815, 816",Blood/Blood-forming Organs
S30.11XA,"Contusion of abdominal wall, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S30.11XD,"Contusion of abdominal wall, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S30.11XS,"Contusion of abdominal wall, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.12XA,"Contusion of groin, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S30.12XD,"Contusion of groin, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S30.12XS,"Contusion of groin, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.13XA,"Contusion of flank (latus) region, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S30.13XD,"Contusion of flank (latus) region, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S30.13XS,"Contusion of flank (latus) region, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.81AA,"Abrasion of flank, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.81AD,"Abrasion of flank, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S30.81AS,"Abrasion of flank, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.82AA,"Blister (nonthermal) of flank, initial encounter",N,09,"606, 607",Skin/Subcutaneous Tissue
S30.82AD,"Blister (nonthermal) of flank, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S30.82AS,"Blister (nonthermal) of flank, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.84AA,"External constriction of flank, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S30.84AD,"External constriction of flank, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S30.84AS,"External constriction of flank, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.85AA,"Superficial foreign body of flank, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.85AD,"Superficial foreign body of flank, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S30.85AS,"Superficial foreign body of flank, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.86AA,"Insect bite (nonvenomous) of flank, initial encounter",N,09,"606, 607",Skin/Subcutaneous Tissue
S30.86AD,"Insect bite (nonvenomous) of flank, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S30.86AS,"Insect bite (nonvenomous) of flank, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.87AA,"Other superficial bite of flank, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.87AD,"Other superficial bite of flank, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S30.87AS,"Other superficial bite of flank, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.9AXA,"Unspecified superficial injury of flank, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.9AXD,"Unspecified superficial injury of flank, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S30.9AXS,"Unspecified superficial injury of flank, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.106A,"Unspecified open wound of abdominal wall, right flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.106D,"Unspecified open wound of abdominal wall, right flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.106S,"Unspecified open wound of abdominal wall, right flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.107A,"Unspecified open wound of abdominal wall, left flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.107D,"Unspecified open wound of abdominal wall, left flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.107S,"Unspecified open wound of abdominal wall, left flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.10AA,"Unspecified open wound of abdominal wall, unspecified flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.10AD,"Unspecified open wound of abdominal wall, unspecified flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.10AS,"Unspecified open wound of abdominal wall, unspecified flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.116A,"Laceration without foreign body of abdominal wall, right flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.116D,"Laceration without foreign body of abdominal wall, right flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.116S,"Laceration without foreign body of abdominal wall, right flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.117A,"Laceration without foreign body of abdominal wall, left flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.117D,"Laceration without foreign body of abdominal wall, left flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.117S,"Laceration without foreign body of abdominal wall, left flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.11AA,"Laceration without foreign body of abdominal wall, unspecified flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.11AD,"Laceration without foreign body of abdominal wall, unspecified flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.11AS,"Laceration without foreign body of abdominal wall, unspecified flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.126A,"Laceration with foreign body of abdominal wall, right flank without penetration into peritoneal cavity, initial encounter",N,21,"913, 914",Injuries/Poisoning/Toxic Effects
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.126D,"Laceration with foreign body of abdominal wall, right flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.126S,"Laceration with foreign body of abdominal wall, right flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.127A,"Laceration with foreign body of abdominal wall, left flank without penetration into peritoneal cavity, initial encounter",N,21,"913, 914",Injuries/Poisoning/Toxic Effects
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.127D,"Laceration with foreign body of abdominal wall, left flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.127S,"Laceration with foreign body of abdominal wall, left flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.12AA,"Laceration with foreign body of abdominal wall unspecified flank without penetration into peritoneal cavity, initial encounter",N,21,"913, 914",Injuries/Poisoning/Toxic Effects
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.12AD,"Laceration with foreign body of abdominal wall unspecified flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.12AS,"Laceration with foreign body of abdominal wall unspecified flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.136A,"Puncture wound of abdominal wall without foreign body, right flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.136D,"Puncture wound of abdominal wall without foreign body, right flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.136S,"Puncture wound of abdominal wall without foreign body, right flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.137A,"Puncture wound of abdominal wall without foreign body, left flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.137D,"Puncture wound of abdominal wall without foreign body, left flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.137S,"Puncture wound of abdominal wall without foreign body, left flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.13AA,"Puncture wound of abdominal wall without foreign body, unspecified flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.13AD,"Puncture wound of abdominal wall without foreign body, unspecified flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.13AS,"Puncture wound of abdominal wall without foreign body, unspecified flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.146A,"Puncture wound of abdominal wall with foreign body, right flank without penetration into peritoneal cavity, initial encounter",N,21,"913, 914",Injuries/Poisoning/Toxic Effects
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.146D,"Puncture wound of abdominal wall with foreign body, right flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.146S,"Puncture wound of abdominal wall with foreign body, right flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.147A,"Puncture wound of abdominal wall with foreign body, left flank without penetration into peritoneal cavity, initial encounter",N,21,"913, 914",Injuries/Poisoning/Toxic Effects
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.147D,"Puncture wound of abdominal wall with foreign body, left flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.147S,"Puncture wound of abdominal wall with foreign body, left flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.14AA,"Puncture wound of abdominal wall with foreign body, unspecified flank without penetration into peritoneal cavity, initial encounter",N,21,"913, 914",Injuries/Poisoning/Toxic Effects
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.14AD,"Puncture wound of abdominal wall with foreign body, unspecified flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.14AS,"Puncture wound of abdominal wall with foreign body, unspecified flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.156A,"Open bite of abdominal wall, right flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.156D,"Open bite of abdominal wall, right flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.156S,"Open bite of abdominal wall, right flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.157A,"Open bite of abdominal wall, left flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.157D,"Open bite of abdominal wall, left flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.157S,"Open bite of abdominal wall, left flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.15AA,"Open bite of abdominal wall, unspecified flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.15AD,"Open bite of abdominal wall, unspecified flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.15AS,"Open bite of abdominal wall, unspecified flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.606A,"Unspecified open wound of abdominal wall, right flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.606D,"Unspecified open wound of abdominal wall, right flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.606S,"Unspecified open wound of abdominal wall, right flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.607A,"Unspecified open wound of abdominal wall, left flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.607D,"Unspecified open wound of abdominal wall, left flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.607S,"Unspecified open wound of abdominal wall, left flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.60AA,"Unspecified open wound of abdominal wall, unspecified flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.60AD,"Unspecified open wound of abdominal wall, unspecified flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.60AS,"Unspecified open wound of abdominal wall, unspecified flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.616A,"Laceration without foreign body of abdominal wall, right flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
